jaar;gebiedcode15;gebiedcodetype;gebiednaam;variabele;waarde
2020;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;4337
2019;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;4119
2017;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;3660
2016;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;3547
2015;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;3369
2020;DX01;22GEBIEDEN;Centrum-West;BEVWEST;12998
2019;DX01;22GEBIEDEN;Centrum-West;BEVWEST;12505
2017;DX01;22GEBIEDEN;Centrum-West;BEVWEST;11549
2016;DX01;22GEBIEDEN;Centrum-West;BEVWEST;11372
2015;DX01;22GEBIEDEN;Centrum-West;BEVWEST;11088
2020;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;23845
2019;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;24456
2017;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;25716
2016;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;26268
2015;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;26729
2020;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.4
2019;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.4
2017;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.3
2016;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.3
2015;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.4
2020;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.8
2019;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.8
2017;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.9
2016;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.8
2015;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.9
2020;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;1.1
2019;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;1.0
2017;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;0.9
2016;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;0.8
2015;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;0.9
2020;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.4
2019;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.4
2017;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.3
2016;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.3
2015;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.3
2020;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;9.9
2019;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;9.5
2017;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;8.5
2016;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;8.2
2015;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;7.7
2020;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;29.7
2019;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;28.7
2017;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;26.7
2016;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;26.2
2015;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;25.4
2020;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;54.5
2019;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;56.2
2017;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;59.5
2016;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;60.4
2015;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;61.3
2020;DX01;22GEBIEDEN;Centrum-West;BEVNW;6870
2019;DX01;22GEBIEDEN;Centrum-West;BEVNW;6582
2017;DX01;22GEBIEDEN;Centrum-West;BEVNW;5963
2016;DX01;22GEBIEDEN;Centrum-West;BEVNW;5836
2015;DX01;22GEBIEDEN;Centrum-West;BEVNW;5768
2020;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;15.7
2019;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;15.1
2017;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;13.8
2016;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;13.4
2015;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;13.2
2020;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;4600
2019;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;4330
2017;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;3817
2016;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;3696
2015;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;3609
2020;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;9330
2019;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;8750
2017;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;7679
2016;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;7452
2015;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;7142
2020;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;17963
2019;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;18122
2017;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;18619
2016;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;19084
2015;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;19368
2020;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;41.1
2019;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;41.6
2017;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;43.1
2016;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;43.9
2015;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;44.4
2017;DX01;22GEBIEDEN;Centrum-West;BEVOPLLAAG_P;13
2016;DX01;22GEBIEDEN;Centrum-West;BEVOPLLAAG_P;11
2015;DX01;22GEBIEDEN;Centrum-West;BEVOPLLAAG_P;12
2017;DX01;22GEBIEDEN;Centrum-West;BEVOPLMID_P;26
2016;DX01;22GEBIEDEN;Centrum-West;BEVOPLMID_P;26
2015;DX01;22GEBIEDEN;Centrum-West;BEVOPLMID_P;28
2017;DX01;22GEBIEDEN;Centrum-West;BEVOPLHOOG_P;61
2016;DX01;22GEBIEDEN;Centrum-West;BEVOPLHOOG_P;63
2015;DX01;22GEBIEDEN;Centrum-West;BEVOPLHOOG_P;60
2020;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3604
2019;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3669
2017;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3792
2016;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3784
2015;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3789
2020;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;12.7
2019;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;13.0
2017;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;13.6
2016;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;13.4
2015;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;13.5
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;602
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;582
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;519
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;502
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;448
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.4
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.3
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.2
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.2
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.0
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1678
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1627
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1540
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1457
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1363
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1446
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1377
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1280
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1226
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1166
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;398
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;383
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;343
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;343
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;310
2020;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;204
2019;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;199
2017;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;176
2016;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;159
2015;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;138
2020;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1329
2019;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1416
2017;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1629
2016;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1660
2015;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1702
2020;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1017
2019;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1101
2017;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1177
2016;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1199
2015;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1206
2020;DX01;22GEBIEDEN;Centrum-West;BEV10_14;974
2019;DX01;22GEBIEDEN;Centrum-West;BEV10_14;1000
2017;DX01;22GEBIEDEN;Centrum-West;BEV10_14;1062
2016;DX01;22GEBIEDEN;Centrum-West;BEV10_14;1110
2015;DX01;22GEBIEDEN;Centrum-West;BEV10_14;1103
2020;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1370
2019;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1288
2017;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1157
2016;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1193
2015;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1245
2020;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3505
2019;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3386
2017;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3425
2016;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3601
2015;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3745
2020;DX01;22GEBIEDEN;Centrum-West;BEV25_29;6070
2019;DX01;22GEBIEDEN;Centrum-West;BEV25_29;5992
2017;DX01;22GEBIEDEN;Centrum-West;BEV25_29;5597
2016;DX01;22GEBIEDEN;Centrum-West;BEV25_29;5559
2015;DX01;22GEBIEDEN;Centrum-West;BEV25_29;5480
2020;DX01;22GEBIEDEN;Centrum-West;BEV30_34;5011
2019;DX01;22GEBIEDEN;Centrum-West;BEV30_34;4855
2017;DX01;22GEBIEDEN;Centrum-West;BEV30_34;4663
2016;DX01;22GEBIEDEN;Centrum-West;BEV30_34;4641
2015;DX01;22GEBIEDEN;Centrum-West;BEV30_34;4570
2020;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3331
2019;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3346
2017;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3422
2016;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3398
2015;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3403
2020;DX01;22GEBIEDEN;Centrum-West;BEV40_44;2719
2019;DX01;22GEBIEDEN;Centrum-West;BEV40_44;2839
2017;DX01;22GEBIEDEN;Centrum-West;BEV40_44;3009
2016;DX01;22GEBIEDEN;Centrum-West;BEV40_44;3126
2015;DX01;22GEBIEDEN;Centrum-West;BEV40_44;3310
2020;DX01;22GEBIEDEN;Centrum-West;BEV45_49;2926
2019;DX01;22GEBIEDEN;Centrum-West;BEV45_49;3078
2017;DX01;22GEBIEDEN;Centrum-West;BEV45_49;3236
2016;DX01;22GEBIEDEN;Centrum-West;BEV45_49;3355
2015;DX01;22GEBIEDEN;Centrum-West;BEV45_49;3354
2020;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3144
2019;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3180
2017;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3256
2016;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3223
2015;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3245
2020;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2997
2019;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2955
2017;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2881
2016;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2906
2015;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2829
2020;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2569
2019;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2532
2017;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2613
2016;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2630
2015;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2699
2020;DX01;22GEBIEDEN;Centrum-West;BEV65_69;2369
2018;DX01;22GEBIEDEN;Centrum-West;IINKQ1_P;31
2017;DX01;22GEBIEDEN;Centrum-West;IINKQ1_P;31
2016;DX01;22GEBIEDEN;Centrum-West;IINKQ1_P;32
2015;DX01;22GEBIEDEN;Centrum-West;IINKQ1_P;32
2018;DX01;22GEBIEDEN;Centrum-West;IINKQ2_P;20
2017;DX01;22GEBIEDEN;Centrum-West;IINKQ2_P;20
2016;DX01;22GEBIEDEN;Centrum-West;IINKQ2_P;19
2015;DX01;22GEBIEDEN;Centrum-West;IINKQ2_P;19
2018;DX01;22GEBIEDEN;Centrum-West;IINKQ3_P;17
2017;DX01;22GEBIEDEN;Centrum-West;IINKQ3_P;16
2016;DX01;22GEBIEDEN;Centrum-West;IINKQ3_P;16
2015;DX01;22GEBIEDEN;Centrum-West;IINKQ3_P;16
2018;DX01;22GEBIEDEN;Centrum-West;IINKQ4_P;13
2017;DX01;22GEBIEDEN;Centrum-West;IINKQ4_P;13
2016;DX01;22GEBIEDEN;Centrum-West;IINKQ4_P;13
2015;DX01;22GEBIEDEN;Centrum-West;IINKQ4_P;13
2018;DX01;22GEBIEDEN;Centrum-West;IINKQ5_P;19
2017;DX01;22GEBIEDEN;Centrum-West;IINKQ5_P;20
2016;DX01;22GEBIEDEN;Centrum-West;IINKQ5_P;20
2015;DX01;22GEBIEDEN;Centrum-West;IINKQ5_P;20
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;43597
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;43319
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;43194
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;43023
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;42833
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22623
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22407
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22442
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22234
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22063
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20971
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20912
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20752
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20789
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20770
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;51.9
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;51.7
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;52.0
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;51.7
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;51.5
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.1
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.3
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.0
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.3
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.5
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12393
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12316
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12163
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12119
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12066
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1479
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1459
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1559
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1563
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1577
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;357
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;350
2017;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;354
2016;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;349
2015;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;334
2020;DX02;22GEBIEDEN;Centrum-Oost;BEVTURK;590
2019;DX02;22GEBIEDEN;Centrum-Oost;BEVTURK;534
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVTOTAAL;43465
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN;22474
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW;20991
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVMAN_P;51.7
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVVROUW_P;48.3
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVDICHT;12338
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR;1478
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL;362
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVTURK;512
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVMAROK;899
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVOVNW;4301
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVWEST;11084
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVAUTOCH;24829
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVSUR_P;3.4
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVANTIL_P;0.8
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVTURK_P;1.2
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVMAROK_P;2.1
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVOVNW_P;9.9
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVWEST_P;25.5
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVAUTOCH_P;57.1
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVNW;7552
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVNW_P;17.4
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVEGNW;4870
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVEGWEST;7168
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVNSTEDELING;17148
2018;DX02;22GEBIEDEN;Centrum-Oost;BEVNSTEDELING_P;39.5
